LastName,FirstName,Team,OldTeam,GP,Pos,Age,GP,OZ,RQoC,RelC
Beauchemin,Francois,ANA,,,D,31,82,47.6,0.998,4.3
Cogliano,Andrew,ANA,,,C,24,82,47.3,0.232,-2.8
Fowler,Cam,ANA,,,D,20,82,50.5,0.781,9.2
Getzlaf,Ryan,ANA,,,C,26,82,47.7,0.843,14.5
Ryan,Bobby,ANA,,,RW/LW,24,82,49.2,0.553,5.9
Selanne,Teemu,ANA,,,RW,41,82,49.8,0.404,3.5
Brookbank,Sheldon,ANA,,,D,31,80,47.5,-0.183,-12.1
Perry,Corey,ANA,,,RW,26,80,48.6,0.905,15.9
Sbisa,Luca,ANA,,,D,21,80,52,-0.288,-1.4
Koivu,Saku,ANA,,,C,37,74,48.6,0.566,5
Lydman,Toni,ANA,,,D,34,74,44.4,0.457,-10.7
Hagman*,Niklas,ANA,CGY,8,LW,32,71,50.1,0.287,0.4
Beleskey,Matt,ANA,,,LW,23,70,49,0.045,-5.9
Visnovsky,Lubomir,ANA,,,D,35,68,53.6,0.142,6.1
Pelley*,Rod,ANA,NJD,7,C/RW,27,52,49.7,-0.82,-14.8
Bonino,Nick,ANA,,,C,23,50,50.7,0.079,-8.8
Smith-Pelly,Devante,ANA,,,RW/C,19,49,52.5,-0.268,-10.2
Parros,George,ANA,,,RW,32,46,61.3,-0.925,-15.9
Blake,Jason,ANA,,,LW,38,45,52.7,0.04,4.3
Gordon,Andrew,ANA,,,RW,26,37,58.2,0.034,-7.6
Macenauer,Maxime,ANA,,,C,22,29,47.9,-0.713,-11.6
McMillan,Brandon,ANA,,,C/LW,21,25,43.2,0.242,-24.8
Palmieri,Kyle,ANA,,,RW/C,20,18,50.5,0.208,0.9
Guenin,Nate,ANA,,,D,29,15,57.1,-1.072,-4.4
O'Marra*,Ryan,ANA,EDM,7,C,24,9,43.9,-1.209,-20.6
Jacques,Jean-Francois,ANA,,,LW,26,6,64.7,-3.242,-14.9
Bell,Mark,ANA,,,C/LW,31,5,40,-0.864,-30.4
Holland,Peter,ANA,,,C,20,4,40,-2.439,-50
Clark,Mat,ANA,,,D,22,2,63.6,-0.471,19.5
Maroon,Patrick,ANA,,,LW,23,2,54.5,-0.715,-5.7
Kelly,Chris,BOS,,,C,31,82,47.2,0.383,-7.8
