LastName,FirstName,Team,OldTeam,GP,Pos,Age,GP,OZ,RQoC,RelC
Cowen,Jared,OTT,,,D,20,82,56.8,-0.288,-2.5
Foligno,Nick,OTT,,,LW,24,82,53.7,-0.14,4.4
Greening,Colin,OTT,,,LW/C,25,82,57,0.433,-2.4
Condra,Erik,OTT,,,RW,25,81,50.3,-0.001,3.8
Karlsson,Erik,OTT,,,D,21,81,57.1,0.657,11.3
Smith,Zack,OTT,,,C,23,81,46.8,-0.035,-5.6
Phillips,Chris,OTT,,,D,33,80,49.7,-0.152,-8.2
Spezza,Jason,OTT,,,C,28,80,59.3,0.281,6
Michalek,Milan,OTT,,,LW,27,77,61.5,0.398,1.1
Alfredsson,Daniel,OTT,,,RW,39,75,58.3,0.28,13.4
Gonchar,Sergei,OTT,,,D,37,74,52.8,0.268,-4.1
Kuba,Filip,OTT,,,D,35,73,57.2,0.807,-1.6
Neil,Chris,OTT,,,RW,32,72,54.5,-0.353,-3.8
Gilroy*,Matt,OTT,TBL,53,D,27,67,51.3,-0.002,0
Daugavins,Kaspars,OTT,,,LW,23,65,49.1,0.1,-14.1
Butler,Bobby,OTT,,,RW/LW,24,56,56.1,-0.293,3.5
Konopka,Zenon,OTT,,,C,30,55,48.9,-0.755,-14.4
Turris*,Kyle,OTT,PHX,6,C,22,55,52,0.576,4.3
Winchester,Jesse,OTT,,,C,28,32,43.9,-0.323,-7.5
Carkner,Matt,OTT,,,D,31,29,49.2,-1.47,-4.5
O'Brien,Jim,OTT,,,C,22,28,58.3,-0.83,-6.3
Da Costa,Stephane,OTT,,,C/RW,22,22,69,-0.881,2
Klinkhammer,Rob,OTT,,,LW,26,15,51.4,-0.415,8.9
Regin,Peter,OTT,,,C,25,10,52,0.1,0.8
Filatov,Nikita,OTT,,,LW,21,9,52.6,-1.288,-7.7
Zibanejad,Mika,OTT,,,C,18,9,52.8,0.596,-16.6
Borowiecki,Mark,OTT,,,D,22,2,45.5,-3.248,18.9
Hoffman,Mike,OTT,,,C,22,1,80,0.597,37.5
Petersson,Andre,OTT,,,RW,21,1,100,-1.856,6.6
