NAME,POS,TEAM,GP,TOI60,TOFF60,RELPM,PMQoC,PMQoT,CorsiQoC,CorsiRelQoC,CorsiQoT,CorsiRelQoT,G60,A160,A260,PTS60,GFON,GAON,GFON60,GAON60,GFOFF60,CORSION,CORSIREL,CORSION,CORSIOFF,SVPCTF,SVPCTA,PDO,GFON60,GAON60,SOGF60,SOGA60,MF60,MA60,PIMFON60,PIMAON60,PIMFOFF60,PIMAOFF60,PTAKE60,PDRAW60,BFON60,BAON60,GFOFF60,GAOFF60,SOGFOFF60,SOGAOFF60,MFOFF60,MAOFF60,BFOFF60,BAOFF60,PFO,PAO,PFD,PAD,PFN,PAN,FD,FinPFO,FinPFD,FinPFN,FinFD
CHRISPHILLIPS,D ,OTT,82,17.12,30.61,-0.88,0.042,-0.018,0.847,0.614,0.181,0.18,0.04,0.13,0.21,0.38,42,72,1.79,3.08,2.18,2.58,-11,-7.22,3.78,6.82,901,969,1.79,3.08,24.5,28,9.7,11.6,3.2,3.4,4.4,3.6,0.6,0.3,14.3,13.8,2.18,2.58,28.7,26.1,11.5,10.8,12.7,13.6,183,186,212,188,276,245,48,440,451,435,49.4
DANIELALFREDSSON,RW,OTT,54,13.68,34.26,-0.26,0.039,-0.032,0.697,0.454,-2.764,-1.724,0.57,0.57,0.41,1.54,29,43,2.35,3.49,1.75,2.63,-6.9,-3.09,3.83,8.33,884,967,2.35,3.49,25.9,26.6,10.4,12,3,3.8,4.2,3.2,0.3,0.7,12.9,13.3,1.75,2.63,28.1,25.5,11.1,10.4,12.6,14,103,111,102,96,150,137,51.9,208,243,239,46.1
MILANMICHALEK,LW,OTT,66,13.38,34.12,0.05,0.033,-0.045,1.002,0.494,-1.149,-0.401,0.88,0.41,0.34,1.63,35,46,2.38,3.13,2,2.8,-8,-5.71,2.32,8.24,901,983,2.38,3.13,26.5,28.4,10.6,11.8,3.2,4.1,4.5,3.3,1,1,13.7,11.8,2,2.8,27.8,25.6,10.7,11,12.7,13.9,106,120,106,95,172,157,52.9,272,268,285,50.4
ERIKCONDRA,RW,OTT,26,12.89,34.8,0.22,0.014,0.042,0.491,0.79,2.42,0.888,0.9,0.72,0,1.61,9,10,1.61,1.79,2.32,2.72,8.3,1.79,-6.5,4.79,943,990,1.61,1.79,32,29.4,11.5,9.3,3.9,3.8,4,3.3,1.1,1.1,14.3,11.5,2.32,2.72,25.5,29.3,10.4,12.3,14.2,13.8,43,52,45,24,57,68,57.9,130,108,99,54.6
JASONSPEZZA,C ,OTT,62,14.28,32.97,0.59,0.009,-0.097,0.701,0.392,-0.316,-0.355,0.81,1.15,0.54,2.51,50,50,3.39,3.39,1.56,2.14,5.4,2.58,-2.79,10.02,897,997,3.39,3.39,30.4,29.4,12.4,11.8,2.8,4.6,4.7,3.2,0.5,0.8,13.2,14.2,1.56,2.14,24.9,26.5,10.1,11.4,13.2,14,128,112,153,112,193,155,47.5,291,288,316,50.3
ERIKKARLSSON,D ,OTT,75,17.63,30.26,-0.28,-0.011,-0.105,0.491,0.443,-0.698,-0.457,0.41,0.32,0.27,1,45,67,2.04,3.04,1.98,2.7,5.1,3.27,-1.82,6.58,905,971,2.04,3.04,29,29.1,11.6,10.3,3.6,3.6,4,3.5,0.9,0.5,12.9,16,1.98,2.7,26.3,25.9,10.7,11.4,13.2,12.4,199,197,161,136,220,211,57.1,438,428,405,50.6
BRIANLEE,D ,OTT,50,14.77,33.16,-0.47,-0.02,-0.129,0.149,-0.036,0.581,0.008,0,0.08,0.16,0.24,22,34,1.79,2.76,2.35,2.86,-5.2,-3.58,1.66,6.47,900,965,1.79,2.76,25.8,24.9,11.1,11.5,3.9,3.3,3.5,3.8,0.4,0,14.3,11.2,2.35,2.86,28.4,27.4,10.6,10.5,12.7,13.8,80,94,97,85,141,135,48.9,238,234,222,50.4
NICKFOLIGNO,LW,OTT,82,13.47,34.26,-0.51,-0.02,-0.025,0.313,0.263,-0.126,0.208,0.49,0.43,0.38,1.3,35,55,1.9,2.99,2.09,2.67,-1.7,-1.36,0.3,6.7,901,968,1.9,2.99,26.4,27.1,10.6,12,4.2,3.8,3.8,3.4,0.9,1.4,13.3,15,2.09,2.67,27.5,26.6,11,10.8,13.3,13.1,135,167,139,109,155,163,54.9,352,350,326,50.1
MAREKSVATOS,RW,OTT,28,10.61,38.45,-0.11,-0.021,0.058,0.423,0.71,2.576,0.732,0.81,0.61,0.2,1.62,12,12,2.42,2.42,2.4,2.29,-0.1,-4.04,-3.9,7.5,929,1004,2.42,2.42,29.9,31.5,9.5,9.5,3,2.4,3.7,3.1,1,0.8,16.2,13.7,2.4,2.29,25.5,29.4,11.5,11.4,12.7,12.4,41,60,21,35,52,64,64.3,112,90,86,55.4
BOBBYBUTLER,RW,OTT,36,13.03,34.86,-1.61,-0.027,0.102,0.478,0.406,0.958,-0.242,1.15,0.26,0.51,1.92,19,32,2.43,4.09,1.96,2.01,2.1,-0.26,-2.34,7.76,882,959,2.43,4.09,28.9,30.6,12.9,9.8,3.2,3.7,4.2,3.4,0.6,0.6,13.8,13.8,1.96,2.01,25.9,26.6,10.3,12,13.7,13.9,67,56,71,52,90,75,50,149,156,142,48.9
