Name,Position,2012,2013,2014,2015
Andrew Ladd,LW,"$2,000,000",,,
Paul Stastny,C,"$3,000,000",,,
Drew Stafford,RW,"$2,500,000",,,
Jiri Hudler,LW,"$1,500,000","$1,500,000","$1,500,000",
Teddy Purcell,RW,"$2,600,000",,,
Rene Bourque,LW,"$1,600,000",,,
Ryan Callahan,RW,"$2,200,000","$2,200,000","$2,200,000","$2,200,000"
Jeff Skinner,C,"$900,000",,,
TJ Oshie,C/RW,"$1,600,000",,,
David Legwand,C,"$500,000","$500,000","$500,000","$500,000"
Martin Erat,RW,"$2,900,000","$2,900,000",,
Derek Stepan,C,"$850,000",,,
David Desharnais,LW,"$1,000,000",,,
Carlo Colaiacovo,D,"$1,500,000","$1,500,000","$1,500,000",
James Wisniewski,D,"$2,750,000","$2,750,000","$2,750,000",
Lubomir Visnovsky,D,"$2,500,000","$2,500,000",,
Tom Gilbert,D,"$1,500,000","$1,500,000",,
Zbynek Michalek,D,"$750,000","$750,000",,
Sergei Gonchar,D,"$1,200,000",,,
Jason Garrison,D,"$1,500,000","$1,500,000","$1,500,000","$1,500,000"
Jose Theodore,G,"$950,000","$950,000",,
Josh Harding,G,"$1,000,000","$1,000,000","$1,000,000",
Cory Schneider,G,"$1,100,000",,,
Craig Anderson,G,"$5,250,000",,,
